Product Name,Price,Rating (Out of 5),No. of Reviews,Product Link
"Samsung Galaxy M32 (Black, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","16,999",4.2,"24,893",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09807472OL0OFTIQLN0D&url=%2FSamsung-Galaxy-Storage-Months-Replacement%2Fdp%2FB096VD6RQG%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947381%26sr%3D8-20-spons%26psc%3D1&qualifier=1640947381&id=8993272393753168&widgetName=sp_btf
"Samsung Galaxy M32 5G (Sky Blue, 6GB RAM, 128GB Storage)","20,999",4.2,"16,515",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03926402I2QNGSMQ21DS&url=%2FSamsung-Galaxy-Blue-128GB-Storage%2Fdp%2FB09CGJK2HG%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947381%26sr%3D8-21-spons%26psc%3D1&qualifier=1640947381&id=8993272393753168&widgetName=sp_btf
"Samsung Galaxy M52 5G (Blazing Black, 6GB RAM, 128GB Storage) Latest Snapdragon 778G 5G | sAMOLED 120Hz Display","29,999",4.2,"7,368",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01833313T6YADGTS74EV&url=%2FSamsung-Blazing-Storage-Snapdragon-sAMOLED%2Fdp%2FB09CV463ZY%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947383%26sr%3D8-17-spons%26psc%3D1&qualifier=1640947383&id=981771024756435&widgetName=sp_atf_next
"Samsung Galaxy M32 (Light Blue, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","16,999",4.2,"24,893",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09807231DT00CUIY4XJY&url=%2FSamsung-Galaxy-Storage-Months-Replacement%2Fdp%2FB096VDR283%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947383%26sr%3D8-18-spons%26psc%3D1&qualifier=1640947383&id=981771024756435&widgetName=sp_atf_next
"(Renewed) OnePlus 8T 5G (Lunar Silver, 12GB RAM, 256GB Storage)","37,929",3.4,27,https://www.amazon.in/Renewed-OnePlus-Lunar-Silver-Storage/dp/B0936LTVTR/ref=sr_1_19?keywords=oneplus+nord+2&qid=1640947383&sr=8-19
"(Renewed) OnePlus 9R 5G (Carbon Black, 12GB RAM, 256 GB Storage)","38,999",4.1,8,https://www.amazon.in/Renewed-OnePlus-Carbon-Black-Storage/dp/B0968YTNYJ/ref=sr_1_20?keywords=oneplus+nord+2&qid=1640947383&sr=8-20
"(Renewed) OnePlus 9 Pro 5G (Stellar Black, 12GB RAM, 256GB Storage)","58,299",3.,3,https://www.amazon.in/Renewed-OnePlus-Stellar-Black-256GB-Storage/dp/B0968XH3T6/ref=sr_1_21?keywords=oneplus+nord+2&qid=1640947383&sr=8-21
"(Renewed) OnePlus 9 5G (Arctic Sky, 12GB RAM, 256GB Storage)","44,999",.0,4,https://www.amazon.in/Renewed-OnePlus-Arctic-256GB-Storage/dp/B0968YF7CV/ref=sr_1_22?keywords=oneplus+nord+2&qid=1640947383&sr=8-22
"(Renewed) OnePlus 9 Pro 5G (Pine Green, 12GB RAM, 256GB Storage)","57,499",3.1,12,https://www.amazon.in/Renewed-OnePlus-Pine-Green-256GB-Storage/dp/B0968ZY7VR/ref=sr_1_23?keywords=oneplus+nord+2&qid=1640947383&sr=8-23
"(Renewed) OnePlus 8T 5G (Lunar Silver, 8GB RAM, 128GB Storage)","31,998",3.9,17,https://www.amazon.in/Renewed-OnePlus-Lunar-Silver-Storage/dp/B0936H71M2/ref=sr_1_24?keywords=oneplus+nord+2&qid=1640947383&sr=8-24
